source_list,name,id,level,total,strength,defense,speed,dexterity
Baldr's List 1,crazydave,320161,35,990,234,244,257,255
Baldr's List 1,maverick1972,522960,31,396,106,107,99,84
Baldr's List 1,Mataifa,488552,31,640,292,39,218,91
Baldr's List 1,fanpi017,810355,30,654,195,138,146,175
Baldr's List 1,Luciii,524912,28,579,117,100,262,100
Baldr's List 1,-----Nick----,1682111,28,638,197,121,177,143
Baldr's List 1,russellkill,387822,28,763,437,42,159,125
Baldr's List 1,themastercheif,566484,27,119,38,35,32,14
Baldr's List 1,matt007,298167,27,194,113,18,32,31
Baldr's List 1,babymolly,879148,27,227,94,27,35,71
Baldr's List 1,Dragon_Reborn,234429,27,470,117,69,173,111
Baldr's List 1,Sachmo,428732,27,580,289,86,114,91
Baldr's List 1,tapper85,18798,27,582,305,179,47,51
Baldr's List 1,james2503,476620,26,129,68,11,34,16
Baldr's List 1,iBennett,472351,26,131,31,54,21,25
Baldr's List 1,wilash,807823,26,134,65,14,31,24
Baldr's List 1,nathwin,1379450,26,249,60,62,66,61
Baldr's List 1,raysil,796316,26,314,158,13,116,27
Baldr's List 1,ilekilluall8,316768,26,335,139,33,130,33
Baldr's List 1,soldierx,153910,26,350,97,56,140,57
Baldr's List 1,DevilsBlood,76096,26,371,240,57,29,45
Baldr's List 1,mikeycallin1,659852,26,415,128,82,118,87
Baldr's List 1,warriorscode,738073,26,445,112,141,114,78
Baldr's List 1,whiteshadow,284536,26,509,135,114,142,118
Baldr's List 1,halfblood93,263120,26,805,206,123,371,105
Baldr's List 1,fortunecookie,729174,26,897,305,199,186,207
Baldr's List 1,Aceraven,1489357,25,221,60,61,55,45
Baldr's List 1,Boylinger,669996,25,264,95,42,78,49
Baldr's List 1,nemesis2000,191060,25,294,143,29,90,32
Baldr's List 1,heva07,454302,25,333,50,136,35,112
Baldr's List 1,OwlByNite,1046495,29,450,141,104,101,104
Baldr's List 1,Bob_the_butler,1199189,25,423,100,101,110,112
Baldr's List 1,ckirklin,485156,25,453,195,76,111,71
Baldr's List 1,theking99218,1399310,25,468,96,164,95,113
Baldr's List 1,srfshannon,581300,25,475,119,118,119,119
Baldr's List 1,andre_xavier,211286,25,561,199,149,109,104
Baldr's List 1,CasterZ,469582,25,622,123,77,228,194
Baldr's List 1,-Diablo-,652354,25,640,213,107,199,121
Baldr's List 1,xZULUx,781161,25,648,152,147,198,151
Baldr's List 1,indo,491724,25,716,285,60,144,227
Baldr's List 1,kracker65,233040,25,719,299,37,131,252
Baldr's List 1,terrence_taylor,688148,25,824,347,109,204,164
Baldr's List 1,Man-u-4-Life,442427,25,846,439,27,366,14
Baldr's List 1,Morphine2man,588113,25,916,364,165,215,172
Baldr's List 1,PRlNCE,669588,25,970,56,10,293,611
Baldr's List 2,agreaves,1265642,24,90,34,28,13,15
Baldr's List 2,killatrone_4000,861978,24,155,17,22,83,33
Baldr's List 2,natashamarie,993561,24,177,82,21,51,23
Baldr's List 2,lordzenn,475911,24,197,37,134,11,15
Baldr's List 2,xVx-Assassin,853558,24,207,94,29,50,34
Baldr's List 2,transvaaler,1199867,24,226,46,53,60,67
Baldr's List 2,-SasukeUchiha-,556637,24,235,122,45,25,43
Baldr's List 2,mroq,318410,24,279,112,30,96,41
Baldr's List 2,AnnabellLee,627612,24,293,144,35,41,73
Baldr's List 2,DJJR,719349,24,330,73,66,124,67
Baldr's List 2,jackiboi2k8,969920,24,333,137,73,92,31
Baldr's List 2,JoeCool555,656275,24,342,90,79,97,76
Baldr's List 2,sidmire,178235,24,351,190,59,47,55
Baldr's List 2,silverwings19,587991,24,363,62,20,122,159
Baldr's List 2,lowlaynsten,586812,24,368,168,122,40,38
Baldr's List 2,evil-one,590277,24,395,118,37,124,116
Baldr's List 2,LilPimpinjr,44940,24,406,288,52,34,32
Baldr's List 2,killer133,983314,24,411,100,101,103,107
Baldr's List 2,cascao,888467,24,428,66,23,150,189
Baldr's List 2,xXDannyBoiiXx,567611,24,436,112,98,77,149
Baldr's List 2,artsmart020,1306114,24,442,94,113,42,193
Baldr's List 2,Darkstar123,1269587,24,445,131,113,101,100
Baldr's List 2,Slim_JIM,782249,24,521,184,120,106,111
Baldr's List 2,Demon_Lizzard,56712,24,565,164,143,138,120
Baldr's List 2,kicks,383473,24,621,377,95,99,50
Baldr's List 2,determanator,894205,24,634,152,177,151,154
Baldr's List 2,Rurouni,1016568,24,645,204,84,230,127
Baldr's List 2,Ibrahim1250,874491,24,685,192,159,217,117
Baldr's List 2,CrayolaCrackers,481648,24,694,201,214,108,171
Baldr's List 2,DonMc94,1032025,24,738,185,183,185,185
Baldr's List 2,--KW--DARk,246649,24,738,323,40,305,70
Baldr's List 2,loppolman,443421,24,796,405,10,371,10
Baldr's List 2,peacefrog,194310,24,796,630,10,33,123
Baldr's List 2,MrBensyBen94,573258,24,808,201,201,203,203
Baldr's List 2,soldier27,104318,24,815,158,532,54,70
Baldr's List 2,doggydog10,1011379,24,854,212,189,332,121
Baldr's List 2,siurblys,33084,24,895,280,151,238,226
Baldr's List 2,dragonman101,1387230,24,966,84,88,207,587
Baldr's List 2,yaesu001,353299,23,126,36,27,38,25
Baldr's List 2,Dragon721,542048,23,161,37,15,94,15
Baldr's List 2,Monica,659243,23,290,70,70,79,71
Baldr's List 2,mzwpunk,1104804,23,392,131,67,101,93
Baldr's List 2,maxrocks,352232,23,403,211,21,51,120
Baldr's List 2,4fingers,670186,23,463,344,27,82,10
Baldr's List 2,knucles777,448387,23,857,256,246,203,151
Baldr's List 2,ministerdeadman,441061,23,976,605,117,130,124
Baldr's List 2,nuryn,652570,22,268,168,16,55,29
Baldr's List 2,K00L-,693146,22,285,218,17,32,18
Baldr's List 2,scottywalker,595042,22,432,361,14,32,25
Baldr's List 2,63476,63476,22,457,120,112,91,134
Baldr's List 2,HatchetWarrior,508876,22,594,200,133,202,59
Baldr's List 2,Pandemic,640180,22,631,159,157,156,159
Baldr's List 2,hotrod,104247,22,940,177,78,445,240
Baldr's List 2,green_punk768,534510,21,108,56,11,27,13
Baldr's List 2,Miff99,507739,21,159,70,21,41,27
Baldr's List 2,CdWilliams101,172402,21,257,186,12,45,14
Baldr's List 2,Adam12321,508367,21,299,116,60,61,62
Baldr's List 2,Misspriss,456008,21,323,290,10,14,10
Baldr's List 2,RockinGamer,591855,21,331,215,26,77,13
Baldr's List 2,phyzco,247701,21,390,254,28,84,24
Baldr's List 2,34tiger,470393,21,518,154,115,146,103
Baldr's List 2,Adrian1221,471778,21,543,448,11,46,38
Baldr's List 2,323695,323695,21,638,88,281,40,229
Baldr's List 3,livehere,969780,20,80,21,19,13,27
Baldr's List 3,tutan,1389629,20,89,28,20,17,24
Baldr's List 3,samartin,685929,20,90,35,10,13,32
Baldr's List 3,fredie,524902,20,98,68,10,10,10
Baldr's List 3,Hass101,974933,20,99,57,22,10,10
Baldr's List 3,sLiPkNoTbOy,497977,20,106,48,22,21,16
Baldr's List 3,joshymitty,1022737,20,107,56,13,19,19
Baldr's List 3,tnm021,794755,20,111,77,10,10,14
Baldr's List 3,nickp36,1171459,20,114,46,18,27,24
Baldr's List 3,hisham654,422145,20,117,43,16,30,27
Baldr's List 3,slykid,581343,20,126,86,10,20,10
Baldr's List 3,fredmonkey,648698,20,128,98,10,10,10
Baldr's List 3,bighorse,857866,20,134,47,18,52,17
Baldr's List 3,MRFoxtrot,849660,20,146,31,70,23,21
Baldr's List 3,qwertypoo,313327,20,147,56,10,66,17
Baldr's List 3,Jonny4toes,512249,20,149,37,39,42,31
Baldr's List 3,CHRIS382,904225,20,157,42,38,42,35
Baldr's List 3,When7Meets7,342880,20,181,63,35,38,45
Baldr's List 3,omoroxs,1101484,20,184,59,38,42,45
Baldr's List 3,Joshuaaare,582138,20,189,147,22,10,11
Baldr's List 3,Marine2015,790460,20,197,31,52,84,30
Baldr's List 3,wayneker,525298,20,218,114,22,29,52
Baldr's List 3,mavinny,677104,20,221,95,35,17,74
Baldr's List 3,mrman,580371,20,222,59,27,39,97
Baldr's List 3,ken-XXX,921628,20,230,84,41,71,34
Baldr's List 3,nature95boy,894666,20,247,51,46,43,104
Baldr's List 3,smw23,1413853,20,266,72,56,127,11
Baldr's List 3,shaun103,693966,20,266,80,63,59,64
Baldr's List 3,weerossy,579753,20,268,146,35,71,16
Baldr's List 3,Mattyea,428350,20,277,156,11,10,101
Baldr's List 3,Richev12,982909,20,279,42,29,128,80
Baldr's List 3,leeroydon,671763,20,282,170,15,65,32
Baldr's List 3,Pyrogod,678613,20,294,109,48,40,9
Baldr's List 3,Mijumaru,238623,20,323,257,10,46,10
Baldr's List 3,hoangnhu,469387,20,326,204,38,33,51
Baldr's List 3,Nikon,96674,20,340,139,76,59,66
Baldr's List 3,omgitswill,298602,20,355,59,16,91,189
Baldr's List 3,guppy12345,490998,20,385,269,28,63,25
Baldr's List 3,SEXYPERSON101,916404,20,403,199,21,42,141
Baldr's List 3,pimpin,577479,20,419,351,48,10,10
Baldr's List 3,melinko,323067,20,440,173,86,98,83
Baldr's List 3,lucy1011,1073189,20,445,285,59,51,50
Baldr's List 3,zapman119,239449,20,451,290,12,125,24
Baldr's List 3,ptownboi04,509029,20,482,166,103,109,104
Baldr's List 3,kashmoney,938020,20,494,216,75,105,98
Baldr's List 3,AngelOfHealing,331666,20,501,307,46,108,40
Baldr's List 3,blood2433,1306189,20,501,238,97,43,123
Baldr's List 3,Mr_Sosa,1151368,20,531,238,95,91,108
Baldr's List 3,n1ghtk11lerz,785081,20,558,44,39,391,84
