source_list,name,id,level,total,profile_url,strength,defense,speed,dexterity
Legacy List 1,XpecoMan,1767292,20,Unknown,https://www.torn.com/profiles.php?XID=1767292,Unknown,Unknown,Unknown,Unknown
Legacy List 1,fighter20,1556854,16,67,https://www.torn.com/profiles.php?XID=1556854,Unknown,Unknown,Unknown,Unknown
Legacy List 1,vampire1996,1361202,18,67,https://www.torn.com/profiles.php?XID=1361202,Unknown,Unknown,Unknown,Unknown
Legacy List 1,gogo234,1423394,19,67,https://www.torn.com/profiles.php?XID=1423394,Unknown,Unknown,Unknown,Unknown
Legacy List 1,yougo1000,1620516,15,75,https://www.torn.com/profiles.php?XID=1620516,Unknown,Unknown,Unknown,Unknown
Legacy List 1,vuyo,1432102,18,75,https://www.torn.com/profiles.php?XID=1432102,Unknown,Unknown,Unknown,Unknown
Legacy List 1,zycore1,1573781,15,67,https://www.torn.com/profiles.php?XID=1573781,Unknown,Unknown,Unknown,Unknown
Legacy List 1,MUSLIMZ123,1547645,16,59,https://www.torn.com/profiles.php?XID=1547645,Unknown,Unknown,Unknown,Unknown
Legacy List 1,codeofdeath,579202,20,Unknown,https://www.torn.com/profiles.php?XID=579202,Unknown,Unknown,Unknown,Unknown
Legacy List 1,kyro56,1395728,18,75,https://www.torn.com/profiles.php?XID=1395728,Unknown,Unknown,Unknown,Unknown
Legacy List 1,badkid911,975654,15,75,https://www.torn.com/profiles.php?XID=975654,Unknown,Unknown,Unknown,Unknown
Legacy List 1,daniel0434,894991,18,84,https://www.torn.com/profiles.php?XID=894991,Unknown,Unknown,Unknown,Unknown
Legacy List 1,slykid,581343,20,104,https://www.torn.com/profiles.php?XID=581343,Unknown,Unknown,Unknown,Unknown
Legacy List 1,landhead71,1400442,20,84,https://www.torn.com/profiles.php?XID=1400442,Unknown,Unknown,Unknown,Unknown
Legacy List 1,livehere,969780,20,84,https://www.torn.com/profiles.php?XID=969780,Unknown,Unknown,Unknown,Unknown
Legacy List 1,fredie,524902,20,84,https://www.torn.com/profiles.php?XID=524902,Unknown,Unknown,Unknown,Unknown
Legacy List 1,samartin,685929,20,84,https://www.torn.com/profiles.php?XID=685929,Unknown,Unknown,Unknown,Unknown
Legacy List 1,fredmonkey,648698,20,94,https://www.torn.com/profiles.php?XID=648698,Unknown,Unknown,Unknown,Unknown
Legacy List 1,Hass101,974933,20,94,https://www.torn.com/profiles.php?XID=974933,Unknown,Unknown,Unknown,Unknown
Legacy List 1,tutan,1389629,20,94,https://www.torn.com/profiles.php?XID=1389629,Unknown,Unknown,Unknown,Unknown
Legacy List 1,FLOWRIDER,920348,20,94,https://www.torn.com/profiles.php?XID=920348,Unknown,Unknown,Unknown,Unknown
Legacy List 1,tnm021,794755,20,94,https://www.torn.com/profiles.php?XID=794755,Unknown,Unknown,Unknown,Unknown
Legacy List 1,azizul,487342,19,59,https://www.torn.com/profiles.php?XID=487342,Unknown,Unknown,Unknown,Unknown
Legacy List 1,blackpower12,575872,19,59,https://www.torn.com/profiles.php?XID=575872,Unknown,Unknown,Unknown,Unknown
Legacy List 1,jt2946,1439547,19,59,https://www.torn.com/profiles.php?XID=1439547,Unknown,Unknown,Unknown,Unknown
Legacy List 1,aaronyuan,901426,19,59,https://www.torn.com/profiles.php?XID=901426,Unknown,Unknown,Unknown,Unknown
Legacy List 1,Linners,1475516,19,67,https://www.torn.com/profiles.php?XID=1475516,Unknown,Unknown,Unknown,Unknown
Legacy List 1,gogo234,1423394,19,67,https://www.torn.com/profiles.php?XID=1423394,Unknown,Unknown,Unknown,Unknown
Legacy List 1,Mrs-Smiley,2038807,19,75,https://www.torn.com/profiles.php?XID=2038807,Unknown,Unknown,Unknown,Unknown
Legacy List 1,dmora,1075217,19,75,https://www.torn.com/profiles.php?XID=1075217,Unknown,Unknown,Unknown,Unknown
Legacy List 1,pug_angel,1602560,19,84,https://www.torn.com/profiles.php?XID=1602560,Unknown,Unknown,Unknown,Unknown
Legacy List 1,najun18,524669,19,84,https://www.torn.com/profiles.php?XID=524669,Unknown,Unknown,Unknown,Unknown
Legacy List 1,rabbit132,1301482,19,84,https://www.torn.com/profiles.php?XID=1301482,Unknown,Unknown,Unknown,Unknown
Legacy List 1,Ophianne,928958,19,94,https://www.torn.com/profiles.php?XID=928958,Unknown,Unknown,Unknown,Unknown
Legacy List 1,alison_angel,610742,18,59,https://www.torn.com/profiles.php?XID=610742,Unknown,Unknown,Unknown,Unknown
Legacy List 1,georgebighead,1302033,18,59,https://www.torn.com/profiles.php?XID=1302033,Unknown,Unknown,Unknown,Unknown
Legacy List 1,ClayDude,1324504,18,67,https://www.torn.com/profiles.php?XID=1324504,Unknown,Unknown,Unknown,Unknown
Legacy List 1,vampire1996,1361202,18,84,https://www.torn.com/profiles.php?XID=1361202,Unknown,Unknown,Unknown,Unknown
Legacy List 1,Boo12,1366126,18,84,https://www.torn.com/profiles.php?XID=1366126,Unknown,Unknown,Unknown,Unknown
Legacy List 1,superspooky12,1364960,18,84,https://www.torn.com/profiles.php?XID=1364960,Unknown,Unknown,Unknown,Unknown
Legacy List 1,kaison13,1453389,18,84,https://www.torn.com/profiles.php?XID=1453389,Unknown,Unknown,Unknown,Unknown
Legacy List 1,ghostbusterz13,1330125,18,84,https://www.torn.com/profiles.php?XID=1330125,Unknown,Unknown,Unknown,Unknown
Legacy List 1,daniel0434,894991,18,84,https://www.torn.com/profiles.php?XID=894991,Unknown,Unknown,Unknown,Unknown
Legacy List 1,kirstie76,1396936,18,84,https://www.torn.com/profiles.php?XID=1396936,Unknown,Unknown,Unknown,Unknown
Legacy List 1,kyro56,1395728,18,94,https://www.torn.com/profiles.php?XID=1395728,Unknown,Unknown,Unknown,Unknown
Legacy List 1,firelordflame,668482,18,94,https://www.torn.com/profiles.php?XID=668482,Unknown,Unknown,Unknown,Unknown
Legacy List 1,jakej96,1606267,17,51,https://www.torn.com/profiles.php?XID=1606267,Unknown,Unknown,Unknown,Unknown
Legacy List 1,ClosetRealtor,2405369,17,59,https://www.torn.com/profiles.php?XID=2405369,Unknown,Unknown,Unknown,Unknown
Legacy List 2,-ANawRaHtar-,1777008,15,Unknown,https://www.torn.com/profiles.php?XID=1777008,Unknown,Unknown,Unknown,Unknown
Legacy List 2,Tanner92,1366638,15,44,https://www.torn.com/profiles.php?XID=1366638,Unknown,Unknown,Unknown,Unknown
Legacy List 2,brav_92popo,1322842,16,44,https://www.torn.com/profiles.php?XID=1322842,Unknown,Unknown,Unknown,Unknown
Legacy List 2,Crimson1995,1280502,15,51,https://www.torn.com/profiles.php?XID=1280502,Unknown,Unknown,Unknown,Unknown
Legacy List 2,angelic_layer,554071,17,84,https://www.torn.com/profiles.php?XID=554071,Unknown,Unknown,Unknown,Unknown
Legacy List 2,Fyroc,1813200,15,84,https://www.torn.com/profiles.php?XID=1813200,Unknown,Unknown,Unknown,Unknown
Legacy List 2,Body_slasher,1409469,15,84,https://www.torn.com/profiles.php?XID=1409469,Unknown,Unknown,Unknown,Unknown
Legacy List 2,bullet789,1417924,15,84,https://www.torn.com/profiles.php?XID=1417924,Unknown,Unknown,Unknown,Unknown
Legacy List 2,tantan,1489004,15,84,https://www.torn.com/profiles.php?XID=1489004,Unknown,Unknown,Unknown,Unknown
