source_list,name,id,level,total,strength,defense,speed,dexterity,profile_url
Slinky Leveling Targets,Windangel,321212,23,38,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=321212
Slinky Leveling Targets,insanezane,1411624,23,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1411624
Slinky Leveling Targets,deadlydazza1,382353,23,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=382353
Slinky Leveling Targets,wadseee,1182544,22,51,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1182544
Slinky Leveling Targets,Lazerchild007,1650969,22,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1650969
Slinky Leveling Targets,ozseychick,1503471,21,38,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1503471
Slinky Leveling Targets,shmall,1446951,21,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1446951
Slinky Leveling Targets,CM_Punket619,1114962,21,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1114962
Slinky Leveling Targets,Thargon,1822211,21,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1822211
Slinky Leveling Targets,chichi,444993,21,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=444993
Slinky Leveling Targets,ceebee93,1454901,21,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1454901
Slinky Leveling Targets,ginger1,906645,21,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=906645
Slinky Leveling Targets,dre_babz,1701853,20,44,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1701853
Slinky Leveling Targets,towerhill,1490601,20,51,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1490601
Slinky Leveling Targets,fighter20,1556854,20,67,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1556854
Slinky Leveling Targets,don98,1378700,20,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1378700
Slinky Leveling Targets,KingRucker,1749074,20,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1749074
Slinky Leveling Targets,landhead71,1400442,20,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1400442
Slinky Leveling Targets,livehere,969780,20,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=969780
Slinky Leveling Targets,fredie,524902,20,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=524902
Slinky Leveling Targets,samartin,685929,20,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=685929
Slinky Leveling Targets,fredmonkey,648698,20,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=648698
Slinky Leveling Targets,Hass101,974933,20,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=974933
Slinky Leveling Targets,tutan,1389629,20,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1389629
Slinky Leveling Targets,FLOWRIDER,920348,20,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=920348
Slinky Leveling Targets,tnm021,794755,20,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=794755
Slinky Leveling Targets,azizul,487342,19,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=487342
Slinky Leveling Targets,blackpower12,575872,19,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=575872
Slinky Leveling Targets,jt2946,1439547,19,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1439547
Slinky Leveling Targets,aaronyuan,901426,19,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=901426
Slinky Leveling Targets,Linners,1475516,19,67,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1475516
Slinky Leveling Targets,gogo234,1423394,19,67,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1423394
Slinky Leveling Targets,Mrs-Smiley,2038807,19,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=2038807
Slinky Leveling Targets,dmora,1075217,19,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1075217
Slinky Leveling Targets,pug_angel,1602560,19,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1602560
Slinky Leveling Targets,najun18,524669,19,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=524669
Slinky Leveling Targets,rabbit132,1301482,19,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1301482
Slinky Leveling Targets,Ophianne,928958,19,94,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=928958
Slinky Leveling Targets,alison_angel,610742,18,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=610742
Slinky Leveling Targets,georgebighead,1302033,18,59,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1302033
Slinky Leveling Targets,ClayDude,1324504,18,67,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1324504
Slinky Leveling Targets,vuyo,1432102,18,75,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1432102
Slinky Leveling Targets,vampire1996,1361202,18,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1361202
Slinky Leveling Targets,Boo12,1366126,18,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1366126
Slinky Leveling Targets,superspooky12,1364960,18,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1364960
Slinky Leveling Targets,kaison13,1453389,18,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1453389
Slinky Leveling Targets,ghostbusterz13,1330125,18,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1330125
Slinky Leveling Targets,daniel0434,894991,18,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=894991
Slinky Leveling Targets,kirstie76,1396936,18,84,Unknown,Unknown,Unknown,Unknown,https://www.torn.com/profiles.php?XID=1396936
