source_list,source_section,name,id,level,total,max_life,profile_url,strength,defense,speed,dexterity
Torn Forum Leveling Targets,Targets under 1000 estimated stats,BritishNecro,2269760,1,40,100,https://www.torn.com/profiles.php?XID=2269760,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,detroit1005,1602317,1,50,100,https://www.torn.com/profiles.php?XID=1602317,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Bambamdasalty,2180357,1,50,100,https://www.torn.com/profiles.php?XID=2180357,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Thotttttttie,2315129,1,60,100,https://www.torn.com/profiles.php?XID=2315129,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,-Diego-,2540644,2,70,125,https://www.torn.com/profiles.php?XID=2540644,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,--Jasmin--,2099564,2,70,131,https://www.torn.com/profiles.php?XID=2099564,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Bomestricys,1788704,3,80,150,https://www.torn.com/profiles.php?XID=1788704,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,heehaa,1779173,3,80,150,https://www.torn.com/profiles.php?XID=1779173,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,busak,1698366,3,80,150,https://www.torn.com/profiles.php?XID=1698366,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,HlaingBowarAung,1454252,20,80,875,https://www.torn.com/profiles.php?XID=1454252,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,DiamondHead5911,2571078,2,80,125,https://www.torn.com/profiles.php?XID=2571078,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,777eggo,1928078,10,90,431,https://www.torn.com/profiles.php?XID=1928078,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,1_PRKSH_1,1995349,10,90,393,https://www.torn.com/profiles.php?XID=1995349,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,gd123,1925717,3,100,150,https://www.torn.com/profiles.php?XID=1925717,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,-Cyb3r,2547681,3,110,150,https://www.torn.com/profiles.php?XID=2547681,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Humming-bird,2399339,5,120,210,https://www.torn.com/profiles.php?XID=2399339,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,ML42,2528027,3,140,150,https://www.torn.com/profiles.php?XID=2528027,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,aleb,2599404,5,140,200,https://www.torn.com/profiles.php?XID=2599404,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,lun471k,1714608,18,150,775,https://www.torn.com/profiles.php?XID=1714608,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Bobilhat,1426849,9,160,341,https://www.torn.com/profiles.php?XID=1426849,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,axel987,2234598,6,190,236,https://www.torn.com/profiles.php?XID=2234598,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,george_ol,2012928,6,190,225,https://www.torn.com/profiles.php?XID=2012928,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Kauffman45,2000050,6,200,225,https://www.torn.com/profiles.php?XID=2000050,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,sLiPkNoTbOy,497977,20,220,918,https://www.torn.com/profiles.php?XID=497977,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,zzclown,686130,7,230,250,https://www.torn.com/profiles.php?XID=686130,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,raiz,2419836,6,240,225,https://www.torn.com/profiles.php?XID=2419836,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Hardcore_Sweety,840013,13,250,525,https://www.torn.com/profiles.php?XID=840013,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,beastyboy,309766,7,250,250,https://www.torn.com/profiles.php?XID=309766,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Big-Hoss,2103101,11,280,425,https://www.torn.com/profiles.php?XID=2103101,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Monica,659243,23,280,1025,https://www.torn.com/profiles.php?XID=659243,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Silentstep,1958474,6,290,225,https://www.torn.com/profiles.php?XID=1958474,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Maddoxx,2163749,5,300,210,https://www.torn.com/profiles.php?XID=2163749,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Comitzu,1977945,7,330,250,https://www.torn.com/profiles.php?XID=1977945,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,-Horrie-,540590,6,330,225,https://www.torn.com/profiles.php?XID=540590,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,MariJane,1840852,7,380,250,https://www.torn.com/profiles.php?XID=1840852,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,supriani,910129,17,390,725,https://www.torn.com/profiles.php?XID=910129,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,-Lo-,1735394,10,400,375,https://www.torn.com/profiles.php?XID=1735394,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Erisir,2420815,8,410,275,https://www.torn.com/profiles.php?XID=2420815,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,Antmartin55,2388146,10,430,393,https://www.torn.com/profiles.php?XID=2388146,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,robodirge,2110272,13,480,525,https://www.torn.com/profiles.php?XID=2110272,Unknown,Unknown,Unknown,Unknown
Torn Forum Leveling Targets,Targets under 1000 estimated stats,hussler_00,516870,11,480,425,https://www.torn.com/profiles.php?XID=516870,Unknown,Unknown,Unknown,Unknown
