id,name,level,total,profile_url,sources
1695815,Linked-,78,51.13m,https://www.torn.com/profiles.php?XID=1695815,Legacy List 11
1627252,eladgrin,73,61.14m,https://www.torn.com/profiles.php?XID=1627252,Legacy List 10
14821,ShadyLady,70,83.20m,https://www.torn.com/profiles.php?XID=14821,Legacy List 9
747490,-Cindy-,48,36.61m,https://www.torn.com/profiles.php?XID=747490,Legacy List 8
1547215,platnick,47,25.27m,https://www.torn.com/profiles.php?XID=1547215,Legacy List 7
854744,DickheadRabid,41,20.81m,https://www.torn.com/profiles.php?XID=854744,Legacy List 6
320161,crazydave,35,1.0k,https://www.torn.com/profiles.php?XID=320161,Baldr's List 1 | Legacy List 5
54970,Sexy_Biatch,35,47000,https://www.torn.com/profiles.php?XID=54970,Torn Forum Leveling Targets - Targets 10k-100k estimated stats
472957,Shera,33,36000,https://www.torn.com/profiles.php?XID=472957,Torn Forum Leveling Targets - Targets 10k-100k estimated stats
522960,maverick1972,31,416,https://www.torn.com/profiles.php?XID=522960,Baldr's List 1 | Legacy List 4
488552,Mataifa,31,640,https://www.torn.com/profiles.php?XID=488552,Baldr's List 1 | Legacy List 3
196000,Ripply,31,30000,https://www.torn.com/profiles.php?XID=196000,Torn Forum Leveling Targets - Targets 10k-100k estimated stats
1629507,RocksCanFly,31,56000,https://www.torn.com/profiles.php?XID=1629507,Torn Forum Leveling Targets - Targets 10k-100k estimated stats
810355,fanpi017,30,676,https://www.torn.com/profiles.php?XID=810355,Baldr's List 1 | Legacy List 2
75522,Javier615,30,"14,584",https://www.torn.com/profiles.php?XID=75522,Baldr's Extra List 1
1663511,KOKO_CHIT,30,"22,647",https://www.torn.com/profiles.php?XID=1663511,Baldr's Extra List 1
2094585,Tomalak,30,25100,https://www.torn.com/profiles.php?XID=2094585,Torn Forum Leveling Targets - Targets 10k-100k estimated stats
1568826,GuyReeb23,30,33000,https://www.torn.com/profiles.php?XID=1568826,Torn Forum Leveling Targets - Targets 10k-100k estimated stats
1547185,A320,30,50000,https://www.torn.com/profiles.php?XID=1547185,Torn Forum Leveling Targets - Targets 10k-100k estimated stats
1046495,OwlByNite,29,459,https://www.torn.com/profiles.php?XID=1046495,Baldr's List 1 | Legacy List 1
95057,President,29,"3,438",https://www.torn.com/profiles.php?XID=95057,Baldr's Extra List 1
54816,fast_lane_6H,29,20.5k,https://www.torn.com/profiles.php?XID=54816,Legacy List 13
524912,Luciii,28,579,https://www.torn.com/profiles.php?XID=524912,Baldr's List 1 | Legacy List 11
1682111,-----Nick----,28,650,https://www.torn.com/profiles.php?XID=1682111,Baldr's List 1 | Legacy List 8
387822,russellkill,28,763,https://www.torn.com/profiles.php?XID=387822,Baldr's List 1 | Legacy List 12
200728,Sgt-Bite_This,28,"1,241",https://www.torn.com/profiles.php?XID=200728,Baldr's Extra List 1
943004,DonEdweezy,28,"2,213",https://www.torn.com/profiles.php?XID=943004,Baldr's Extra List 1
248808,jakbar,28,"2,222",https://www.torn.com/profiles.php?XID=248808,Baldr's Extra List 1
76480,Eiardrith,28,"2,293",https://www.torn.com/profiles.php?XID=76480,Baldr's Extra List 1
241909,spana87,28,"2,811",https://www.torn.com/profiles.php?XID=241909,Baldr's Extra List 1
87461,BabsKing,28,"3,698",https://www.torn.com/profiles.php?XID=87461,Baldr's Extra List 1
929257,Drider30,28,"5,088",https://www.torn.com/profiles.php?XID=929257,Baldr's Extra List 1
87572,jordanh,28,"5,327",https://www.torn.com/profiles.php?XID=87572,Baldr's Extra List 1
21631,Bezo,28,"6,200",https://www.torn.com/profiles.php?XID=21631,Baldr's Extra List 1
431823,Gabriel_Grohl,28,7.1k,https://www.torn.com/profiles.php?XID=431823,Legacy List 10
136660,tbs786,28,"7,264",https://www.torn.com/profiles.php?XID=136660,Baldr's Extra List 1
610531,8ballboi,28,7.6k,https://www.torn.com/profiles.php?XID=610531,Legacy List 9
262546,Ahika,28,27200,https://www.torn.com/profiles.php?XID=262546,Torn Forum Leveling Targets - Targets 10k-100k estimated stats
1429963,Kneazi,28,32000,https://www.torn.com/profiles.php?XID=1429963,Torn Forum Leveling Targets - Targets 10k-100k estimated stats
678166,ASchwarzenegger,28,34000,https://www.torn.com/profiles.php?XID=678166,Torn Forum Leveling Targets - Targets 10k-100k estimated stats
1514039,gamepje,28,"239,307",https://www.torn.com/profiles.php?XID=1514039,Baldr's Extra List 1
566484,themastercheif,27,126,https://www.torn.com/profiles.php?XID=566484,Baldr's List 1 | Legacy List 7
298167,matt007,27,194,https://www.torn.com/profiles.php?XID=298167,Baldr's List 1 | Legacy List 4
879148,babymolly,27,227,https://www.torn.com/profiles.php?XID=879148,Baldr's List 1 | Legacy List 10
234429,Dragon_Reborn,27,481,https://www.torn.com/profiles.php?XID=234429,Baldr's List 1 | Legacy List 1
428732,Sachmo,27,580,https://www.torn.com/profiles.php?XID=428732,Baldr's List 1 | Legacy List 5
18798,tapper85,27,582,https://www.torn.com/profiles.php?XID=18798,Baldr's List 1 | Legacy List 6
320301,Sporty_Jordo,27,"1,029",https://www.torn.com/profiles.php?XID=320301,Baldr's Extra List 1
583658,rapture,27,"1,350",https://www.torn.com/profiles.php?XID=583658,Baldr's Extra List 1
813216,vexxor,27,"1,544",https://www.torn.com/profiles.php?XID=813216,Baldr's Extra List 1
41317,HateCrime,27,"1,641",https://www.torn.com/profiles.php?XID=41317,Baldr's Extra List 1
50835,ghost99,27,"1,705",https://www.torn.com/profiles.php?XID=50835,Baldr's Extra List 1
14641,Magus517707,27,"1,829",https://www.torn.com/profiles.php?XID=14641,Baldr's Extra List 1
222151,Climactic,27,"1,966",https://www.torn.com/profiles.php?XID=222151,Baldr's Extra List 1
26299,jedimasteryoda,27,"2,646",https://www.torn.com/profiles.php?XID=26299,Baldr's Extra List 1
368042,hypermegmeg,27,2690,https://www.torn.com/profiles.php?XID=368042,Torn Forum Leveling Targets - Targets 1000-10000 estimated stats
850551,Eliotte,27,"2,750",https://www.torn.com/profiles.php?XID=850551,Baldr's Extra List 1
340810,madmax128,27,"2,762",https://www.torn.com/profiles.php?XID=340810,Baldr's Extra List 1
27340,Knowless,27,"2,778",https://www.torn.com/profiles.php?XID=27340,Baldr's Extra List 1
54567,gotencs103,27,"2,843",https://www.torn.com/profiles.php?XID=54567,Baldr's Extra List 1
228704,THEking,27,"3,196",https://www.torn.com/profiles.php?XID=228704,Baldr's Extra List 1
359740,Mikeopia,27,"3,265",https://www.torn.com/profiles.php?XID=359740,Baldr's Extra List 1
556583,pakure,27,"3,537",https://www.torn.com/profiles.php?XID=556583,Baldr's Extra List 1
173148,sphynx,27,"3,756",https://www.torn.com/profiles.php?XID=173148,Baldr's Extra List 1
185958,Mars_hotel,27,"3,771",https://www.torn.com/profiles.php?XID=185958,Baldr's Extra List 1
34069,luckycat76262,27,"3,821",https://www.torn.com/profiles.php?XID=34069,Baldr's Extra List 1
185535,EVO-X,27,4.0k,https://www.torn.com/profiles.php?XID=185535,Legacy List 2
247665,tikiman123,27,"4,073",https://www.torn.com/profiles.php?XID=247665,Baldr's Extra List 1
374418,AlsCapone,27,"4,194",https://www.torn.com/profiles.php?XID=374418,Baldr's Extra List 1
316174,Bobdude11,27,"5,878",https://www.torn.com/profiles.php?XID=316174,Baldr's Extra List 1
633615,atalon1,27,6.5k,https://www.torn.com/profiles.php?XID=633615,Legacy List 9
431576,dariusvalmortis,27,"6,504",https://www.torn.com/profiles.php?XID=431576,Baldr's Extra List 1
676255,Becca1505,27,7000,https://www.torn.com/profiles.php?XID=676255,Torn Forum Leveling Targets - Targets 1000-10000 estimated stats
130275,Silent-ninja,27,"7,282",https://www.torn.com/profiles.php?XID=130275,Baldr's Extra List 1
464810,Heartlessx,27,9.9k,https://www.torn.com/profiles.php?XID=464810,Legacy List 3
120868,assain,27,10.2k,https://www.torn.com/profiles.php?XID=120868,Legacy List 8
244123,im_ran85,27,"11,485",https://www.torn.com/profiles.php?XID=244123,Baldr's Extra List 1
802556,-FB-streety23,27,11.7k,https://www.torn.com/profiles.php?XID=802556,Legacy List 5
314257,314257,27,12.4k,https://www.torn.com/profiles.php?XID=314257,Legacy List 6
188142,zhuang281,27,"13,983",https://www.torn.com/profiles.php?XID=188142,Baldr's Extra List 1
685278,Asengoth,27,14.1k,https://www.torn.com/profiles.php?XID=685278,Legacy List 7
455991,brobech,27,15.6k,https://www.torn.com/profiles.php?XID=455991,Legacy List 12
190120,d_beachboyz,27,16.9k,https://www.torn.com/profiles.php?XID=190120,Legacy List 13
28102,Bhaal,27,18.0k,https://www.torn.com/profiles.php?XID=28102,Legacy List 11
